iter	Logloss
0	0.6907242253
1	0.6882437232
2	0.6861641498
3	0.684182888
4	0.6822503652
5	0.6802859941
6	0.6782226314
7	0.6766947064
8	0.6753043105
9	0.6741347784
10	0.672497225
11	0.6707672709
12	0.6691805196
13	0.6678019254
14	0.6664119854
15	0.665351136
16	0.6641881342
17	0.6628092311
18	0.6616834575
19	0.6605708947
20	0.659558904
21	0.6583061108
22	0.6571210664
23	0.6562869373
24	0.6553509953
25	0.6545422324
26	0.6539651861
27	0.6531283305
28	0.6522434622
29	0.6517139839
30	0.650897291
31	0.6500317773
32	0.6492107051
33	0.6485489162
34	0.6478404967
35	0.6471127573
36	0.6463749939
37	0.645966853
38	0.6450951148
39	0.6444776731
40	0.6439809189
41	0.6433050789
42	0.6430074701
43	0.642419447
44	0.6419737418
45	0.6413523382
46	0.6409066276
47	0.6404380681
48	0.6397937674
49	0.6394452648
50	0.6391084392
51	0.6386831498
52	0.6382845225
53	0.6377180847
54	0.6373076952
55	0.6369950835
56	0.6366339453
57	0.6360913659
58	0.6354124962
59	0.6348685084
60	0.6343634197
61	0.6340516525
62	0.6337655358
63	0.633312671
64	0.6328012712
65	0.6326017209
66	0.6322511251
67	0.6320106212
68	0.6317886635
69	0.6315935938
70	0.6311728976
71	0.6307762246
72	0.6301806514
73	0.6298971262
74	0.6293416074
75	0.6287970481
76	0.6284857715
77	0.6279491305
78	0.6276306002
79	0.6275096716
80	0.6272057459
81	0.6268451292
82	0.6263267219
83	0.6260090291
84	0.6256483061
85	0.6253331717
86	0.6249618956
87	0.6247503434
88	0.6243851427
89	0.6240738992
90	0.623908133
91	0.6234281746
92	0.6231069848
93	0.6228603023
94	0.6227118956
95	0.6224553265
96	0.6221051847
97	0.6218434795
98	0.6214517084
99	0.621109196
100	0.6207281529
101	0.620445195
102	0.6201047013
103	0.6198029411
104	0.6196288075
105	0.6194673846
106	0.6191332862
107	0.6188992731
108	0.6185722484
109	0.6182197977
110	0.6178795939
111	0.6177624578
112	0.6174481175
113	0.6171770044
114	0.6169364478
115	0.6167252692
116	0.6164264657
117	0.6161639211
118	0.615940359
119	0.6158023006
120	0.6154834853
121	0.6153623861
122	0.6151629106
123	0.6149315132
124	0.614662539
125	0.6144506463
126	0.6141691202
127	0.6138716883
128	0.6136624384
129	0.6134237037
130	0.6132273886
131	0.6129572216
132	0.6127421405
133	0.6125841137
134	0.6123983643
135	0.6122372243
136	0.6121137928
137	0.6119102616
138	0.6116589673
139	0.6114298271
140	0.6112721446
141	0.6110156502
142	0.6108390808
143	0.6106448893
144	0.6104897516
145	0.6102380982
146	0.6100019999
147	0.6098200412
148	0.6095821101
149	0.6092554129
150	0.6090298738
151	0.6087051896
152	0.6084640071
153	0.6082898292
154	0.6079855667
155	0.6076318476
156	0.6074278338
157	0.607232522
158	0.6070044333
159	0.6068759132
160	0.6067084801
161	0.6063620219
162	0.6061973199
163	0.6060699776
164	0.6058530238
165	0.6056618536
166	0.6054045381
167	0.6052859424
168	0.6050530667
169	0.6049219905
170	0.6046704991
171	0.6044738686
172	0.6043316092
173	0.6041338368
174	0.6039915638
175	0.6038258178
176	0.6034518194
177	0.6032282934
178	0.6030723788
179	0.6029603955
180	0.6027933232
181	0.6024321315
182	0.6022728236
183	0.6020315706
184	0.6018438814
185	0.601652422
186	0.6015592051
187	0.6014390619
188	0.6012750411
189	0.6011264025
190	0.6008612429
191	0.6007603442
192	0.6005462399
193	0.6004606631
194	0.6003653555
195	0.6002383043
196	0.5999639277
197	0.5997373394
198	0.5995631004
199	0.5994220398
200	0.5991294823
201	0.5988926282
202	0.5986815771
203	0.5983824254
204	0.5982884354
205	0.5979481502
206	0.5977078432
207	0.5973397918
208	0.5971826365
209	0.5968417811
210	0.5965975082
211	0.5964140394
212	0.5961843031
213	0.5960377621
214	0.5959430783
215	0.5956691552
216	0.5954178049
217	0.5952705802
218	0.5951285762
219	0.5949121104
220	0.5947667515
221	0.5946434059
222	0.5945855392
223	0.5944539048
224	0.5942404968
225	0.594111595
226	0.5939823377
227	0.5938641108
228	0.5938121943
229	0.5936155104
230	0.593491813
231	0.5933037878
232	0.5930756545
233	0.5928229757
234	0.5927540392
235	0.5926550332
236	0.5923658451
237	0.592088801
238	0.5918344678
239	0.5916051683
240	0.5915014402
241	0.591243184
242	0.5910511389
243	0.5908838593
244	0.5908164339
245	0.5905710337
246	0.590437248
247	0.5902463718
248	0.5899842087
249	0.5897449768
250	0.5896974477
251	0.5894899895
252	0.5893163992
253	0.5892567469
254	0.5891695101
255	0.5890245935
256	0.5888519471
257	0.588815479
258	0.5887609153
259	0.5885139058
260	0.5882740845
261	0.5880439148
262	0.587777103
263	0.5875248625
264	0.5873917911
265	0.5872032104
266	0.5871225436
267	0.5868999037
268	0.5867734098
269	0.5867052673
270	0.5865159486
271	0.5863929532
272	0.5861473071
273	0.5860596347
274	0.5858540786
275	0.5856866181
276	0.5854655749
277	0.5851890985
278	0.585057331
279	0.5850064746
280	0.5848662231
281	0.5847323856
282	0.5845953006
283	0.5843217423
284	0.5842102494
285	0.5841365857
286	0.5839312372
287	0.58387015
288	0.5836038411
289	0.5835387694
290	0.5834068614
291	0.5831790966
292	0.5830185404
293	0.5829031634
294	0.5827244627
295	0.5823208021
296	0.5821622704
297	0.5820983401
298	0.581899697
299	0.5817562297
300	0.5816004282
301	0.5815029873
302	0.581362136
303	0.5812265699
