iter	Passed	Remaining
0	110	110279
1	224	112117
2	334	111030
3	447	111483
4	560	111595
5	630	104511
6	700	99334
7	716	88806
8	825	90942
9	940	93104
10	1051	94573
11	1161	95644
12	1274	96800
13	1386	97630
14	1525	100198
15	1643	101084
16	1749	101147
17	1867	101858
18	1885	97358
19	1996	97820
20	2116	98658
21	2224	98884
22	2339	99382
23	2462	100127
24	2574	100392
25	2695	100993
26	2807	101167
27	2932	101805
28	3041	101839
29	3110	100580
30	3219	100624
31	3325	100600
32	3438	100761
33	3528	100248
34	3602	99327
35	3712	99402
36	3822	99493
37	3938	99702
38	4053	99890
39	4163	99933
40	4252	99458
41	4357	99400
42	4478	99674
43	4601	99986
44	4714	100044
45	4823	100028
46	4934	100047
47	5043	100024
48	5161	100175
49	5196	98740
50	5307	98762
51	5431	99019
52	5547	99116
53	5680	99508
54	5777	99272
55	5909	99609
56	6032	99804
57	6151	99908
58	6287	100276
59	6418	100558
60	6529	100505
61	6638	100439
62	6750	100406
63	6859	100325
64	6973	100316
65	7086	100283
66	7198	100243
67	7310	100192
68	7426	100204
69	7535	100114
70	7650	100098
71	7761	100033
72	7874	99991
73	7984	99911
74	8090	99788
75	8204	99744
76	8313	99658
77	8425	99596
78	8537	99536
79	8650	99478
80	8759	99387
81	8872	99325
82	8989	99321
83	9103	99273
84	9215	99198
85	9328	99137
86	9435	99023
87	9484	98295
88	9597	98241
89	9709	98172
90	9825	98147
91	9932	98028
92	10043	97955
93	10149	97824
94	10264	97786
95	10383	97775
96	10497	97722
97	10588	97460
98	10711	97485
99	10820	97384
100	10926	97258
101	11032	97128
102	11154	97137
103	11263	97040
104	11376	96966
105	11488	96890
106	11593	96754
107	11702	96651
108	11814	96573
109	11918	96428
110	12034	96380
111	12145	96297
112	12257	96217
113	12371	96152
114	12501	96208
115	12626	96223
116	12749	96223
117	12860	96126
118	12974	96053
119	13087	95974
120	13198	95880
121	13317	95843
122	13450	95906
123	13563	95822
124	13690	95834
125	13822	95878
126	13940	95824
127	14043	95668
128	14161	95616
129	14271	95510
130	14378	95384
131	14491	95290
132	14599	95173
133	14710	95066
134	14817	94941
135	14926	94825
136	15010	94557
137	15123	94464
138	15232	94352
139	15336	94212
140	15446	94103
141	15553	93978
142	15671	93920
143	15778	93793
144	15888	93685
145	15922	93133
146	16030	93022
147	16140	92918
148	16248	92801
149	16363	92725
150	16471	92609
151	16569	92442
152	16644	92142
153	16766	92108
154	16880	92027
155	16994	91946
156	17109	91869
157	17226	91801
158	17342	91729
159	17445	91586
160	17545	91433
161	17655	91327
162	17776	91283
163	17891	91203
164	18008	91133
165	18116	91021
166	18225	90909
167	18336	90811
168	18405	90504
169	18519	90419
170	18632	90328
171	18755	90286
172	18867	90193
173	18974	90076
174	19082	89958
175	19150	89656
176	19258	89545
177	19372	89459
178	19493	89408
179	19611	89339
180	19727	89262
181	19764	88830
182	19869	88705
183	19977	88596
184	20087	88493
185	20192	88368
186	20315	88324
187	20390	88068
188	20509	88005
189	20636	87976
190	20751	87895
191	20866	87814
192	20978	87718
193	21089	87620
194	21199	87515
195	21375	87684
196	21537	87788
197	21662	87745
198	21783	87679
199	21898	87593
200	22067	87722
201	22220	87782
202	22371	87831
203	22509	87829
204	22635	87781
205	22761	87730
206	22883	87665
207	23000	87577
208	23156	87641
209	23289	87614
210	23416	87562
211	23534	87478
212	23663	87433
213	23796	87403
214	23913	87313
215	24033	87231
216	24163	87190
217	24302	87175
218	24419	87084
219	24537	86996
220	24673	86970
221	24787	86867
222	24906	86782
223	25020	86677
224	25118	86520
225	25247	86465
226	25379	86426
227	25508	86372
228	25633	86303
229	25751	86212
230	25863	86098
231	25986	86025
232	26101	85921
233	26215	85815
234	26325	85696
235	26435	85580
236	26550	85478
237	26663	85368
238	26779	85269
239	26890	85153
240	27003	85045
241	27124	84959
242	27237	84849
243	27345	84725
244	27450	84591
245	27551	84447
246	27661	84328
247	27771	84209
248	27895	84133
249	28009	84028
250	28126	83930
251	28237	83817
252	28351	83710
253	28469	83615
254	28580	83500
255	28694	83392
256	28806	83279
257	28940	83232
258	29059	83138
259	29176	83040
260	29286	82923
261	29401	82817
262	29516	82712
263	29633	82615
264	29751	82518
265	29869	82422
266	29985	82318
267	30097	82205
268	30207	82086
269	30323	81987
270	30445	81899
271	30560	81794
272	30694	81738
273	30808	81630
274	30914	81501
275	31025	81385
276	31145	81292
277	31255	81174
278	31367	81059
279	31491	80977
280	31604	80867
281	31719	80761
282	31829	80642
283	31942	80531
284	32052	80412
285	32156	80278
286	32270	80170
287	32388	80070
288	32504	79967
289	32617	79856
290	32728	79741
291	32839	79624
292	32953	79515
293	33064	79400
294	33171	79274
295	33281	79155
296	33404	79068
297	33522	78969
298	33651	78895
299	33783	78827
300	33901	78728
301	34012	78612
302	34125	78499
303	34236	78384
304	34354	78283
305	34486	78214
306	34609	78124
307	34722	78012
308	34835	77901
309	34957	77807
310	35068	77692
311	35182	77582
312	35285	77447
313	35398	77335
314	35521	77245
315	35722	77322
316	35844	77230
317	35964	77131
318	36083	77031
319	36200	76925
320	36330	76848
321	36435	76718
322	36553	76614
323	36667	76503
324	36776	76381
325	36889	76268
326	37005	76160
327	37113	76037
328	37222	75916
329	37342	75816
330	37454	75701
331	37575	75603
332	37691	75495
333	37804	75382
334	37916	75266
335	38034	75163
336	38141	75037
337	38258	74931
338	38395	74865
339	38501	74738
340	38616	74628
341	38748	74551
342	38872	74457
343	38995	74364
344	39109	74251
345	39225	74143
346	39342	74035
347	39459	73929
348	39585	73840
349	39699	73727
350	39815	73619
351	39934	73515
352	40051	73409
353	40179	73321
354	40329	73274
355	40448	73170
356	40567	73067
357	40681	72953
358	40809	72865
359	40924	72755
360	41039	72642
361	41147	72519
362	41265	72413
363	41380	72301
364	41490	72182
365	41608	72075
366	41722	71961
367	41849	71871
368	41964	71760
369	42077	71646
370	42188	71526
371	42300	71409
372	42407	71285
373	42515	71161
374	42635	71059
375	42748	70944
376	42858	70823
377	42966	70701
378	43076	70581
379	43187	70464
380	43301	70350
381	43412	70232
382	43527	70120
383	43638	70002
384	43837	70026
385	43954	69917
386	44071	69808
387	44222	69752
388	44337	69641
389	44459	69539
390	44577	69430
391	44710	69346
392	44844	69262
393	44960	69152
394	45064	69023
395	45217	68967
396	45334	68857
397	45444	68738
398	45578	68652
399	45687	68531
400	45804	68421
401	45918	68306
402	46028	68186
403	46134	68059
404	46334	68072
405	46453	67963
406	46588	67879
407	46703	67765
408	46874	67732
409	47004	67640
410	47128	67539
411	47244	67426
412	47358	67310
413	47489	67219
414	47668	67195
415	47966	67338
416	48158	67328
417	48318	67275
418	48445	67175
419	48569	67071
420	48681	66951
421	48792	66829
422	48905	66710
423	49108	66713
424	49268	66657
425	49428	66600
426	49556	66501
427	49674	66387
428	49791	66273
429	49909	66159
430	50024	66042
431	50151	65940
432	50266	65822
433	50381	65705
434	50490	65579
435	50621	65483
436	50761	65397
437	50872	65275
438	50988	65157
439	51096	65031
440	51220	64926
441	51363	64843
442	51476	64723
443	51594	64609
444	51705	64486
445	51821	64369
446	51929	64243
447	52037	64117
448	52146	63992
449	52261	63875
450	52373	63754
451	52487	63634
452	52592	63506
453	52701	63381
454	52814	63260
455	52936	63151
456	53052	63036
457	53170	62922
458	53288	62807
459	53401	62688
460	53616	62688
461	53748	62590
462	53867	62476
463	53978	62353
464	54095	62238
465	54238	62152
466	54358	62040
467	54470	61919
468	54584	61800
469	54706	61690
470	54820	61570
471	54929	61446
472	55035	61319
473	55153	61203
474	55253	61069
475	55369	60953
476	55484	60835
477	55609	60728
478	55730	60617
479	55849	60503
480	55965	60386
481	56079	60267
482	56201	60157
483	56322	60046
484	56460	59953
485	56591	59852
486	56715	59743
487	56840	59635
488	56953	59515
489	57057	59386
490	57174	59270
491	57297	59160
492	57416	59047
493	57528	58926
494	57661	58826
495	57793	58725
496	57918	58617
497	58072	58538
498	58186	58420
499	58302	58302
500	58418	58184
501	58527	58061
502	58638	57938
503	58750	57817
504	58863	57697
505	58976	57577
506	59086	57455
507	59196	57332
508	59313	57216
509	59421	57091
510	59546	56982
511	59726	56926
512	59836	56803
513	59960	56694
514	60083	56583
515	60202	56469
516	60318	56351
517	60431	56231
518	60557	56123
519	60679	56012
520	60798	55896
521	60913	55779
522	61035	55666
523	61156	55554
524	61258	55424
525	61372	55305
526	61533	55228
527	61649	55110
528	61757	54986
529	61876	54871
530	61988	54750
531	62111	54639
532	62232	54526
533	62357	54417
534	62479	54304
535	62598	54189
536	62742	54096
537	62887	54004
538	63031	53909
539	63136	53782
540	63250	53663
541	63365	53544
542	63478	53424
543	63598	53310
544	63708	53187
545	63873	53110
546	64067	53057
547	64180	52936
548	64305	52826
549	64418	52706
550	64535	52588
551	64647	52467
552	64776	52359
553	64897	52245
554	65012	52127
555	65125	52007
556	65232	51881
557	65352	51766
558	65467	51647
559	65581	51528
560	65693	51407
561	65815	51293
562	65933	51177
563	66045	51056
564	66166	50942
565	66293	50833
566	66421	50723
567	66566	50628
568	66679	50507
569	66798	50391
570	66921	50278
571	67033	50157
572	67166	50052
573	67286	49937
574	67402	49819
575	67531	49710
576	67646	49591
577	67757	49470
578	67918	49384
579	68030	49263
580	68153	49150
581	68268	49031
582	68378	48909
583	68495	48790
584	68615	48675
585	68730	48557
586	68845	48438
587	68961	48320
588	69075	48200
589	69196	48085
590	69308	47964
591	69425	47847
592	69554	47738
593	69679	47625
594	69788	47503
595	69898	47381
596	70018	47265
597	70134	47147
598	70239	47021
599	70356	46904
600	70469	46783
601	70586	46666
602	70685	46537
603	70799	46418
604	70914	46299
605	71036	46185
606	71148	46064
607	71263	45946
608	71387	45833
609	71503	45715
610	71618	45596
611	71734	45479
612	71849	45359
613	71961	45239
614	72080	45123
615	72196	45005
616	72314	44889
617	72439	44776
618	72554	44657
619	72678	44545
620	72798	44429
621	72911	44309
622	73017	44185
623	73122	44061
624	73241	43945
625	73357	43826
626	73477	43711
627	73593	43593
628	73706	43474
629	73816	43352
