iter	Passed	Remaining
0	110	136207
1	218	134089
2	331	135558
3	434	133245
4	538	132113
5	646	131922
6	753	131761
7	862	131791
8	968	131461
9	1081	132103
10	1186	131597
11	1299	132002
12	1405	131680
13	1511	131388
14	1618	131190
15	1720	130673
16	1831	130782
17	1933	130316
18	2040	130158
19	2149	130145
20	2262	130388
21	2370	130290
22	2478	130190
23	2586	130085
24	2694	129967
25	2804	130000
26	2911	129851
27	3020	129789
28	3127	129626
29	3236	129571
30	3344	129457
31	3448	129202
32	3560	129258
33	3671	129263
34	3780	129200
35	3892	129196
36	3999	129060
37	4107	128956
38	4215	128853
39	4346	129405
40	4451	129215
41	4564	129211
42	4679	129284
43	4787	129152
44	4892	128949
45	4999	128793
46	5104	128579
47	5229	128878
48	5340	128832
49	5472	129263
50	5596	129491
51	5710	129479
52	5822	129406
53	5927	129202
54	6039	129144
55	6141	128868
56	6245	128635
57	6351	128444
58	6461	128350
59	6571	128254
60	6682	128175
61	6790	128027
62	6897	127878
63	7008	127792
64	7118	127701
65	7227	127572
66	7338	127494
67	7446	127362
68	7556	127253
69	7671	127229
70	7779	127097
71	7888	126977
72	7998	126880
73	8105	126733
74	8214	126615
75	8325	126528
76	8429	126332
77	8538	126218
78	8643	126036
79	8755	125972
80	8860	125800
81	8968	125672
82	9078	125568
83	9188	125470
84	9297	125351
85	9396	125101
86	9506	125002
87	9616	124909
88	9723	124770
89	9832	124659
90	9946	124599
91	10051	124438
92	10160	124333
93	10269	124219
94	10375	124073
95	10485	123969
96	10593	123850
97	10702	123734
98	10810	123606
99	10920	123511
100	11026	123366
101	11133	123229
102	11244	123139
103	11357	123075
104	11464	122943
105	11571	122812
106	11676	122662
107	11790	122594
108	11900	122499
109	12007	122365
110	12113	122229
111	12220	122094
112	12332	122015
113	12437	121863
114	12548	121771
115	12657	121668
116	12770	121596
117	12881	121502
118	12991	121401
119	13103	121318
120	13211	121196
121	13320	121086
122	13431	120989
123	13540	120882
124	13644	120723
125	13752	120611
126	13855	120440
127	13962	120319
128	14073	120222
129	14183	120127
130	14291	120004
131	14398	119879
132	14504	119741
133	14613	119636
134	14697	119321
135	14782	119021
136	14902	118999
137	14985	118690
138	15090	118549
139	15202	118469
140	15311	118365
141	15415	118218
142	15527	118136
143	15632	117999
144	15728	117798
145	15832	117658
146	15943	117566
147	16048	117439
148	16159	117344
149	16268	117241
150	16379	117150
151	16488	117043
152	16598	116950
153	16701	116804
154	16811	116706
155	16921	116604
156	17030	116499
157	17133	116356
158	17245	116271
159	17354	116166
160	17464	116070
161	17569	115933
162	17683	115867
163	17790	115747
164	17899	115640
165	18009	115539
166	18115	115418
167	18231	115360
168	18340	115251
169	18450	115155
170	18563	115070
171	18677	114999
172	18784	114876
173	18893	114772
174	19000	114651
175	19110	114551
176	19217	114433
177	19326	114330
178	19431	114202
179	19536	114072
180	19652	114006
181	19763	113910
182	19876	113830
183	19981	113698
184	20090	113591
185	20200	113489
186	20309	113385
187	20412	113247
188	20524	113157
189	20631	113039
190	20740	112931
191	20851	112837
192	20957	112716
193	21067	112611
194	21183	112543
195	21285	112399
196	21391	112276
197	21498	112159
198	21611	112077
199	21721	111971
200	21828	111859
201	21940	111768
202	22050	111663
203	22158	111552
204	22264	111429
205	22368	111298
206	22480	111206
207	22587	111093
208	22695	110981
209	22800	110853
210	22910	110751
211	23014	110620
212	23126	110527
213	23238	110438
214	23344	110317
215	23454	110213
216	23566	110120
217	23673	110006
218	23780	109888
219	23886	109769
220	23990	109639
221	24119	109625
222	24242	109580
223	24355	109489
224	24462	109376
225	24572	109273
226	24682	109167
227	24791	109061
228	24903	108964
229	25012	108856
230	25120	108745
231	25226	108628
232	25338	108533
233	25356	108036
234	25461	107912
235	25570	107808
236	25680	107705
237	25776	107548
238	25885	107441
239	25993	107332
240	26102	107226
241	26208	107107
242	26316	106998
243	26424	106889
244	26538	106802
245	26646	106695
246	26759	106602
247	26868	106500
248	26975	106387
249	27081	106266
250	27189	106159
251	27296	106044
252	27405	105937
253	27515	105835
254	27624	105731
255	27735	105632
256	27847	105539
257	27955	105429
258	28067	105334
259	28181	105248
260	28287	105130
261	28402	105044
262	28511	104938
263	28618	104827
264	28720	104692
265	28830	104592
266	28938	104481
267	29048	104379
268	29155	104266
269	29268	104175
270	29373	104052
271	29474	103918
272	29588	103832
273	29699	103729
274	29808	103623
275	29913	103504
276	30022	103398
277	30131	103293
278	30235	103167
279	30349	103078
280	30455	102962
281	30565	102860
282	30671	102744
283	30781	102641
284	30890	102534
285	30997	102422
286	31109	102326
287	31207	102183
288	31321	102093
289	31432	101994
290	31538	101878
291	31646	101766
292	31758	101671
293	31864	101552
294	31970	101438
295	32082	101341
296	32189	101229
297	32297	101120
298	32404	101005
299	32518	100914
300	32626	100807
301	32732	100690
302	32841	100584
303	32951	100481
304	33059	100371
305	33167	100260
306	33267	100126
307	33404	100105
308	33507	99979
309	33618	99878
310	33732	99786
311	33846	99695
312	33957	99594
313	34067	99489
314	34179	99390
315	34283	99271
316	34393	99167
317	34500	99052
318	34613	98958
319	34722	98851
320	34830	98741
321	34941	98637
322	35046	98522
323	35160	98428
324	35269	98321
325	35378	98212
326	35487	98107
327	35595	97995
328	35711	97907
329	35833	97836
330	35942	97727
331	36051	97621
332	36165	97526
333	36277	97428
334	36389	97329
335	36502	97231
336	36616	97136
337	36728	97036
338	36837	96928
339	36954	96843
340	37090	96804
341	37199	96696
342	37312	96599
343	37427	96507
344	37545	96420
345	37666	96344
346	37775	96236
347	37887	96133
348	37993	96016
349	38103	95912
350	38211	95801
351	38324	95701
352	38435	95598
353	38546	95495
354	38650	95374
355	38757	95260
356	38864	95147
357	38975	95044
358	39083	94932
359	39192	94823
360	39299	94710
361	39413	94613
362	39529	94523
363	39634	94403
364	39744	94298
365	39849	94179
366	39960	94075
367	40066	93959
368	40176	93853
369	40280	93734
370	40392	93632
371	40503	93527
372	40610	93416
373	40716	93299
374	40822	93184
375	40933	93081
376	41040	92966
377	41149	92858
378	41261	92757
379	41367	92641
380	41471	92522
381	41581	92414
382	41691	92308
383	41796	92191
384	41904	92080
385	42012	91971
386	42121	91860
387	42230	91753
388	42338	91643
389	42444	91527
390	42580	91477
391	42691	91373
392	42790	91243
393	42903	91141
